language,length,average_word_length,frequency_of_1,frequency_of_0,frequency_of_01,frequency_of_10,frequency_of_11,frequency_of_00,nc,levenshtein,special,classe
"['10', '100010', '11011']",3,4.33,1.3856812933025404,1.6166281755196303,0.4618937644341801,0.9237875288683602,0.23094688221709006,0.4618937644341801,9.0,3.3333333333333335,7.224855900103494e-06,True
"['1010100', '1001101', '010', '0100', '1100110']",5,5.6,2.6785714285714284,2.3214285714285716,1.25,1.6071428571428572,0.7142857142857143,0.5357142857142857,25.0,3.2,0.1475975636305163,True
"['001', '1010011', '0001101', '0']",4,4.5,2.2222222222222223,1.7777777777777777,1.1111111111111112,0.6666666666666666,0.6666666666666666,0.4444444444444444,16.0,4.333333333333333,5.6195403361167675e-05,True
"['001101', '110', '01111', '0010', '01110']",5,4.6,2.173913043478261,2.8260869565217392,1.0869565217391306,0.8695652173913044,0.4347826086956522,1.0869565217391306,25.0,2.2,0.0015056965721906188,True
"['1101101', '1101', '01', '1111101', '10000', '1010011']",6,5.33,2.25140712945591,3.75234521575985,1.3133208255159474,1.3133208255159474,0.5628517823639775,1.125703564727955,36.0,3.533333333333333,2.555066256545524,True
"['1000', '10011', '010', '0010011', '00001']",5,4.8,3.1250000000000004,1.875,1.0416666666666667,0.8333333333333334,1.25,0.4166666666666667,25.0,2.6,0.0075035356872526675,True
"['1000011', '00101', '11', '00111']",4,4.75,1.894736842105263,2.1052631578947367,0.8421052631578947,0.42105263157894735,0.8421052631578947,0.631578947368421,16.0,3.0,0.00028613985640630094,True
"['1000010', '1000', '11', '0011101']",4,5.0,2.2,1.8,0.6000000000000001,0.8,0.8,0.4,16.0,4.166666666666667,0.0005669047444551414,True
"['110100', '0']",2,3.5,1.1428571428571428,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,4.0,5.0,2.1628814438997217e-07,True
"['11011', '10']",2,3.5,0.5714285714285714,1.4285714285714284,0.2857142857142857,0.5714285714285714,0.0,0.5714285714285714,4.0,3.0,2.2876630656631672e-07,True
"['110', '0100', '010011']",3,4.33,1.6166281755196303,1.3856812933025404,0.6928406466512702,0.6928406466512702,0.4618937644341801,0.4618937644341801,9.0,2.6666666666666665,8.89970255666174e-06,True
"['000111', '0001']",2,5.0,1.2,0.8,0.4,0.0,0.4,0.2,4.0,2.0,2.35005387654489e-07,True
"['11', '01011']",2,3.5,0.5714285714285714,1.4285714285714284,0.5714285714285714,0.2857142857142857,0.0,0.5714285714285714,4.0,3.0,2.2252722547814445e-07,True
"['1001011', '0010']",2,5.5,1.0909090909090908,0.9090909090909092,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.18181818181818182,4.0,3.0,2.4997918226610245e-06,True
"['101001', '1', '000001', '1101']",4,4.25,2.1176470588235294,1.8823529411764706,0.9411764705882353,0.7058823529411764,0.7058823529411764,0.23529411764705882,16.0,3.5,8.840881886624915e-05,True
"['00010', '0110', '0010']",3,4.33,2.0785219399538106,0.9237875288683602,0.6928406466512702,0.6928406466512702,0.4618937644341801,0.23094688221709006,9.0,1.3333333333333333,8.457421030633527e-07,True
"['0111', '1001001', '01011', '0100110']",4,5.75,1.9130434782608696,2.0869565217391304,1.2173913043478262,0.8695652173913043,0.5217391304347826,0.5217391304347826,16.0,2.6666666666666665,0.004128680714692562,True
"['0111111', '11']",2,4.5,0.2222222222222222,1.7777777777777777,0.2222222222222222,0.0,0.0,0.8888888888888888,4.0,5.0,5.303218924946433e-07,True
"['1111', '111100']",2,5.0,0.4,1.6,0.0,0.2,0.2,0.8,4.0,2.0,2.1212875699785734e-06,True
"['0111000', '00', '1011010']",3,5.33,1.6885553470919326,1.3133208255159474,0.5628517823639775,0.7504690431519699,0.37523452157598497,0.37523452157598497,9.0,4.333333333333333,3.98774333906691e-05,True
"['001', '00101', '10', '11100']",4,3.75,2.1333333333333333,1.8666666666666667,0.8,0.8,0.8,0.26666666666666666,16.0,2.8333333333333335,5.020380582282624e-06,True
"['101', '000011', '10100', '0101111', '101110', '0010', '00110']",7,5.14,3.5019455252918292,3.5019455252918292,1.556420233463035,1.556420233463035,0.9727626459143969,0.9727626459143969,49.0,2.857142857142857,25.81064822780922,True
"['00', '0000111', '1101100', '101']",4,4.75,2.1052631578947367,1.894736842105263,0.631578947368421,0.631578947368421,0.8421052631578947,0.631578947368421,16.0,4.333333333333333,8.357249117606761e-06,True
"['01000', '11110', '01011', '0']",4,4.0,2.0,2.0,0.75,0.75,0.25,0.75,16.0,3.3333333333333335,1.9056233336974185e-05,True
"['110000', '1101010', '1000', '10011', '11000']",5,5.4,2.7777777777777772,2.222222222222222,0.5555555555555556,1.296296296296296,0.9259259259259258,0.7407407407407407,25.0,2.2,0.08519159427738172,True
"['101', '11111']",2,4.0,0.25,1.75,0.25,0.25,0.0,0.5,4.0,3.0,3.9722149594696815e-07,True
"['101110', '11001', '0110110', '0']",4,4.75,1.6842105263157894,2.3157894736842106,0.8421052631578947,1.0526315789473684,0.21052631578947367,0.8421052631578947,16.0,4.166666666666667,0.00039861489072332663,True
"['1', '100000', '01', '100001', '01100']",5,4.0,3.25,1.75,0.75,0.75,1.25,0.25,25.0,3.5,0.000656807199333899,True
"['00', '011']",2,2.5,1.2000000000000002,0.8,0.4,0.0,0.4,0.4,4.0,2.0,6.239081088172274e-09,True
"['1101', '0', '1010', '0101101', '0010011', '10111']",6,4.67,2.569593147751606,3.4261241970021414,1.713062098501071,1.498929336188437,0.4282655246252677,0.8565310492505354,36.0,3.3333333333333335,0.154959113499228,True
"['11110', '0']",2,3.0,0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,4.0,4.0,1.247816217634455e-07,True
"['0010100', '010110', '11', '000']",4,4.5,2.444444444444444,1.5555555555555556,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.4444444444444444,16.0,3.5,4.334913540062096e-05,True
"['100011', '01000', '10100', '01', '0101001', '101110']",6,5.17,3.288201160541586,2.7079303675048356,1.5473887814313347,1.5473887814313347,0.7736943907156674,0.3868471953578337,36.0,3.066666666666667,0.8204113991838118,True
"['0100100', '0001101', '0']",3,5.0,2.0,1.0,0.8,0.6000000000000001,0.6000000000000001,0.2,9.0,5.0,1.2813686092641814e-05,True
"['00', '101', '110110', '1010111']",4,4.5,1.5555555555555556,2.4444444444444446,0.8888888888888888,1.1111111111111112,0.2222222222222222,0.6666666666666666,16.0,3.3333333333333335,4.987001498460902e-05,True
"['101011', '1100', '1', '1001000']",4,4.5,2.0,1.9999999999999998,0.6666666666666666,1.1111111111111112,0.6666666666666666,0.4444444444444444,16.0,3.8333333333333335,0.00018654852453635102,True
"['001001', '01', '110011']",3,4.67,1.498929336188437,1.4989293361884368,0.8565310492505354,0.4282655246252677,0.6423982869379015,0.4282655246252677,9.0,3.6666666666666665,3.353852700508607e-06,True
"['00', '0101', '11', '1010111']",4,3.75,1.6,2.4,1.0666666666666667,0.8,0.26666666666666666,0.5333333333333333,16.0,3.1666666666666665,3.151775796375027e-06,True
"['101', '111', '0110', '0001000', '001011', '0001001', '1100']",7,4.86,3.9094650205761314,3.0864197530864192,1.4403292181069958,1.2345679012345678,1.2345679012345678,0.8230452674897119,49.0,3.1904761904761907,7.557132119981404,True
"['0100', '111001', '110010']",3,5.33,1.50093808630394,1.5009380863039399,0.5628517823639775,0.7504690431519699,0.5628517823639775,0.37523452157598497,9.0,2.6666666666666665,2.7842939202816805e-05,True
"['111111', '001100', '0']",3,4.33,1.1547344110854503,1.8475750577367205,0.23094688221709006,0.23094688221709006,0.4618937644341801,0.9237875288683602,9.0,5.0,1.1213708409141634e-05,True
"['0100101', '1', '01000']",3,4.33,1.8475750577367205,1.1547344110854503,0.9237875288683602,0.6928406466512702,0.4618937644341801,0.0,9.0,4.0,3.338601613404186e-06,True
"['011111', '111000', '01111']",3,5.67,0.8818342151675485,2.1164021164021163,0.3527336860670194,0.1763668430335097,0.1763668430335097,0.8818342151675485,9.0,3.0,9.052906658937971e-05,True
"['011', '1110', '0']",3,2.67,1.1235955056179776,1.8726591760299627,0.37453183520599254,0.37453183520599254,0.0,0.7490636704119851,9.0,2.3333333333333335,1.7192134554074713e-07,True
"['001001', '01', '1', '011000']",4,3.75,2.4,1.6,1.0666666666666667,0.5333333333333333,0.8,0.26666666666666666,16.0,3.5,5.0162211948905086e-06,True
"['001', '0']",2,2.0,1.5,0.5,0.5,0.0,0.5,0.0,4.0,2.0,4.15938739211485e-09,True
"['001110', '111', '001100', '1101']",4,4.75,1.6842105263157894,2.3157894736842106,0.631578947368421,0.631578947368421,0.631578947368421,0.8421052631578947,16.0,2.6666666666666665,0.00012692474611723266,True
"['1111', '1100', '01010', '10']",4,3.75,1.6,2.4,0.5333333333333333,1.0666666666666667,0.26666666666666666,0.8,16.0,2.5,3.358497349763135e-05,True
"['0001010', '001110', '10', '1100011']",4,5.5,2.1818181818181817,1.8181818181818181,0.7272727272727273,0.9090909090909092,0.5454545454545454,0.5454545454545454,16.0,4.0,0.0003485597829997685,True
"['01', '100001', '100', '1']",4,3.0,2.333333333333333,1.6666666666666665,0.6666666666666666,0.6666666666666666,1.0,0.0,16.0,2.8333333333333335,1.62320092977282e-06,True
"['111', '00', '1001100', '10101', '10111']",5,4.4,2.0454545454545454,2.9545454545454546,0.9090909090909091,1.1363636363636362,0.6818181818181818,0.6818181818181818,25.0,3.0,0.0031183218435802476,True
"['1111', '101000']",2,5.0,0.8,1.2000000000000002,0.2,0.4,0.2,0.4,4.0,4.0,2.0796936960574248e-06,True
"['101', '01000', '10100', '100000', '0001', '100']",6,4.33,4.157043879907621,1.8475750577367207,0.9237875288683602,1.3856812933025404,1.3856812933025404,0.0,36.0,2.3333333333333335,0.030646463357474694,True
"['011', '00011', '000', '100']",4,3.5,2.571428571428571,1.4285714285714284,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.5714285714285714,16.0,2.1666666666666665,6.592629016502037e-06,True
"['11', '110010', '10101', '111010', '00111', '100']",6,4.5,2.4444444444444446,3.5555555555555554,1.1111111111111112,1.5555555555555554,0.6666666666666666,0.8888888888888888,36.0,2.933333333333333,0.08820443211565049,True
"['0111111', '11001', '1']",3,4.33,0.6928406466512702,2.3094688221709005,0.4618937644341801,0.23094688221709006,0.23094688221709006,0.9237875288683602,9.0,4.666666666666667,5.6609262406683105e-06,True
"['11101', '111011']",2,5.5,0.36363636363636365,1.6363636363636362,0.36363636363636365,0.36363636363636365,0.0,0.5454545454545454,4.0,1.0,3.982613427949969e-06,True
"['01', '110111']",2,4.0,0.5,1.5,0.5,0.25,0.0,0.5,4.0,4.0,2.4748354983083355e-07,True
"['100001', '100']",2,4.5,1.3333333333333333,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.0,4.0,3.0,5.573579105433899e-07,True
"['11101', '1110', '0110', '0011001', '1111001', '0001100', '011']",7,5.29,3.0245746691871456,3.9697542533081287,1.3232514177693762,1.1342155009451795,0.9451795841209829,1.5122873345935728,49.0,2.9047619047619047,76.30468191637523,True
"['10', '101101', '000110']",3,4.67,1.4989293361884368,1.498929336188437,0.6423982869379015,0.8565310492505354,0.21413276231263384,0.4282655246252677,9.0,3.6666666666666665,1.5359231176616102e-05,True
"['111', '1110', '101000']",3,4.33,1.1547344110854503,1.8475750577367205,0.23094688221709006,0.6928406466512702,0.23094688221709006,0.4618937644341801,9.0,2.6666666666666665,1.1235891808566248e-05,True
"['0001', '0000010', '1101']",3,5.0,1.9999999999999998,1.0,0.6000000000000001,0.4,0.6000000000000001,0.2,9.0,3.3333333333333335,2.901865937232127e-06,True
"['101', '100', '11100', '0']",4,3.0,1.9999999999999998,2.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,16.0,2.3333333333333335,2.986440147538462e-06,True
"['001111', '00', '011100', '010', '1100000']",5,4.8,2.916666666666667,2.0833333333333335,0.625,0.625,1.0416666666666667,0.8333333333333334,25.0,3.9,0.003295219757489414,True
"['11011', '000000', '10']",3,4.33,1.8475750577367207,1.1547344110854503,0.23094688221709006,0.4618937644341801,0.6928406466512702,0.4618937644341801,9.0,4.333333333333333,9.58600147636069e-06,True
"['1101101', '001100', '01111', '0111001', '0011010', '0100010', '000']",7,6.0,3.666666666666667,3.3333333333333335,1.6666666666666665,1.3333333333333333,0.9999999999999999,1.1666666666666665,49.0,3.238095238095238,2229.3799999897797,True
"['1100011', '000000', '110', '01', '01001']",5,4.6,3.0434782608695654,1.956521739130435,0.8695652173913044,0.6521739130434783,1.0869565217391306,0.6521739130434783,25.0,3.7,0.005397947309046892,True
"['000', '11000']",2,4.0,1.5,0.5,0.0,0.25,0.5,0.25,4.0,2.0,4.991264870537819e-08,True
"['1110', '010111', '10101', '0010', '00001']",5,4.8,2.5,2.5000000000000004,1.25,1.0416666666666667,0.625,0.4166666666666667,25.0,2.5,0.012534491096041003,True
"['10000', '010']",2,4.0,1.5,0.5,0.25,0.5,0.5,0.0,4.0,3.0,2.7036018048746525e-07,True
"['001101', '0011010', '0010']",3,5.67,1.763668430335097,1.2345679012345678,0.8818342151675485,0.7054673721340388,0.5291005291005291,0.3527336860670194,9.0,2.0,3.749271795252326e-05,True
"['00', '1110']",2,3.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,3.0,2.9115711744803947e-08,True
"['000011', '0100', '0']",3,3.67,2.1798365122615806,0.8174386920980927,0.5449591280653951,0.2724795640326976,0.8174386920980927,0.2724795640326976,9.0,3.6666666666666665,1.4419209625998147e-07,True
"['01101', '100010', '0010', '00001', '00111', '000']",6,4.67,3.854389721627409,2.1413276231263385,1.2847965738758031,0.8565310492505354,1.2847965738758031,0.4282655246252677,36.0,2.3333333333333335,0.07869910889007219,True
"['011111', '0']",2,3.5,0.5714285714285714,1.4285714285714286,0.2857142857142857,0.0,0.0,0.5714285714285714,4.0,5.0,1.2894100915556035e-07,True
"['1100011', '11', '110101']",3,5.0,1.0,2.0,0.6000000000000001,0.6000000000000001,0.2,0.8,9.0,3.6666666666666665,3.547818799227563e-05,True
"['0010', '1101']",2,4.0,1.0,1.0,0.5,0.5,0.25,0.25,4.0,3.0,9.358621632258411e-08,True
"['1011000', '0101010', '010']",3,5.67,1.763668430335097,1.2345679012345678,0.8818342151675485,1.0582010582010581,0.1763668430335097,0.1763668430335097,9.0,3.6666666666666665,0.00012540552987226272,True
"['01', '000']",2,2.5,1.6,0.4,0.4,0.0,0.4,0.0,4.0,2.0,1.66375495684594e-08,True
"['0111', '11101', '1001']",3,4.33,0.9237875288683602,2.0785219399538106,0.6928406466512702,0.4618937644341801,0.23094688221709006,0.4618937644341801,9.0,2.3333333333333335,5.624878216603315e-06,True
"['1', '1101']",2,2.5,0.4,1.6,0.4,0.4,0.0,0.4,4.0,3.0,6.031111718566532e-08,True
"['0110111', '001', '110', '0010001', '1100']",5,4.8,2.5,2.5,1.0416666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,25.0,3.5,0.006021059311117269,True
"['110110', '100', '01', '000']",4,3.5,2.2857142857142856,1.714285714285714,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.5714285714285714,16.0,2.6666666666666665,1.4516261998480826e-05,True
"['111', '00011', '0001', '0011', '10010', '11000']",6,4.33,3.233256351039261,2.771362586605081,0.9237875288683602,0.6928406466512702,1.1547344110854503,0.9237875288683602,36.0,2.4,0.04126579808120805,True
"['0010100', '0']",2,4.0,1.5,0.5,0.5,0.5,0.5,0.0,4.0,6.0,8.3187747842297e-08,True
"['0100000', '0001']",2,5.5,1.6363636363636362,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.5454545454545454,0.0,4.0,4.0,1.0668828660774588e-06,True
"['001', '010', '11']",3,2.67,1.4981273408239701,1.4981273408239701,0.7490636704119851,0.37453183520599254,0.37453183520599254,0.37453183520599254,9.0,2.0,5.961788595364618e-08,True
"['10011', '0']",2,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,4.0,7.902836045018215e-08,True
"['0111', '00011', '11', '10011', '10001', '1000001', '0110010']",7,5.0,3.6000000000000005,3.4,1.4,1.0,1.2,1.0,49.0,2.9047619047619047,9.08784084619908,True
"['00', '101', '1001100', '010']",4,3.75,2.4,1.6,0.8,1.0666666666666667,0.8,0.26666666666666666,16.0,3.0,5.958322439204522e-06,True
"['00', '101', '110100', '1010101']",4,4.5,2.0,2.0,1.1111111111111112,1.3333333333333333,0.4444444444444444,0.2222222222222222,16.0,3.3333333333333335,4.960173449781761e-05,True
"['101011', '011111', '0101111', '0100001', '0010', '1111100', '1001110']",7,6.29,2.8616852146263914,4.133545310015898,1.4308426073131955,1.2718600953895072,0.794912559618442,1.2718600953895072,49.0,3.380952380952381,7103.330331488795,True
"['01', '1']",2,1.5,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,4.0,1.0,6.239081088172274e-09,True
"['001', '11010', '1110', '101010']",4,4.5,1.7777777777777777,2.222222222222222,0.8888888888888888,1.3333333333333333,0.2222222222222222,0.4444444444444444,16.0,2.1666666666666665,6.273396034157223e-05,True
"['1000010', '10', '11100']",3,4.67,1.7130620985010707,1.284796573875803,0.21413276231263384,0.8565310492505354,0.6423982869379015,0.21413276231263384,9.0,4.0,1.1840389442886939e-05,True
"['1111', '01101', '1110000', '1100000']",4,5.75,1.9130434782608696,2.086956521739131,0.34782608695652173,0.5217391304347826,0.6956521739130435,0.8695652173913043,16.0,3.5,0.008414174493455245,True
"['0010011', '000010', '1101001', '0011']",4,6.0,2.3333333333333335,1.6666666666666665,0.9999999999999999,0.6666666666666666,0.9999999999999999,0.5,16.0,3.1666666666666665,0.0025956105901663263,True
"['111', '1101', '111101', '0']",4,3.5,0.8571428571428571,3.142857142857143,0.5714285714285714,0.5714285714285714,0.0,1.1428571428571428,16.0,2.8333333333333335,1.67644108839189e-05,True
"['1101110', '1000100']",2,7.0,1.0,1.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,4.0,3.0,2.9423506411820446e-05,True
"['111', '000011', '00', '000100', '11110', '10010']",6,4.5,3.3333333333333335,2.666666666666667,0.6666666666666666,0.8888888888888888,1.3333333333333335,0.8888888888888888,36.0,3.4,0.08196212750224932,True
"['001', '110110', '011111', '110011', '01', '011100', '011101', '0001100', '000111', '01011', '000']",11,5.09,5.1080550098231825,5.893909626719056,2.357563850687623,1.37524557956778,1.37524557956778,2.1611001964636545,121.0,3.036363636363636,6305993.570053872,True
"['100', '1']",2,2.0,1.0,1.0,0.0,0.5,0.5,0.0,4.0,2.0,1.8717243264516825e-08,True
"['101011', '111', '1110', '1011100', '1001', '111010', '010001']",7,5.14,2.7237354085603114,4.280155642023346,1.3618677042801557,1.7509727626459144,0.5836575875486382,0.9727626459143969,49.0,2.9523809523809526,28.066317881633033,True
"['1001', '00111', '10', '1101']",4,3.75,1.5999999999999999,2.4000000000000004,0.8,0.8,0.5333333333333333,0.5333333333333333,16.0,2.5,1.9679101598943382e-05,True
"['0101', '1001100']",2,5.5,1.0909090909090908,0.9090909090909091,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.18181818181818182,4.0,4.0,1.4890606863771162e-06,True
"['01', '0101110', '0010']",3,4.33,1.6166281755196303,1.3856812933025404,0.9237875288683602,0.6928406466512702,0.23094688221709006,0.23094688221709006,9.0,3.3333333333333335,3.862684424810657e-06,True
"['111111', '001', '0101011', '0100000']",4,5.75,1.9130434782608696,2.0869565217391304,0.8695652173913043,0.5217391304347826,0.5217391304347826,0.6956521739130435,16.0,4.333333333333333,0.00860936622499241,True
"['110', '1', '010']",3,2.33,1.2875536480686696,1.7167381974248928,0.4291845493562232,0.8583690987124464,0.0,0.4291845493562232,9.0,1.6666666666666667,1.4696502118805803e-07,True
"['111010', '0101', '0110']",3,4.67,1.284796573875803,1.7130620985010707,0.8565310492505354,0.8565310492505354,0.0,0.4282655246252677,9.0,2.6666666666666665,2.070543043794772e-05,True
"['01', '111010', '00011']",3,4.33,1.3856812933025404,1.6166281755196303,0.6928406466512702,0.4618937644341801,0.23094688221709006,0.4618937644341801,9.0,3.6666666666666665,5.416908846997573e-06,True
"['001100', '0111110', '010', '0001011', '000100', '00111', '100']",7,5.29,3.9697542533081287,3.0245746691871456,1.3232514177693762,1.1342155009451795,1.3232514177693762,0.945179584120983,49.0,3.142857142857143,15.933048444610751,True
"['0110101', '01110', '010']",3,5.0,1.4,1.5999999999999999,1.0,0.8,0.0,0.4,9.0,2.6666666666666665,1.8969579432971792e-05,True
"['101011', '100', '110111', '1110']",4,4.75,1.263157894736842,2.7368421052631575,0.631578947368421,1.0526315789473684,0.21052631578947367,0.8421052631578947,16.0,2.8333333333333335,0.0003714811270708654,True
"['01', '0']",2,1.5,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,4.0,1.0,4.15938739211485e-09,True
"['01', '1100']",2,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,3.0,5.823142348960789e-08,True
"['0000', '101', '1111101', '01']",4,4.0,1.75,2.25,0.75,0.5,0.5,0.5,16.0,3.6666666666666665,3.1829712018158887e-06,True
"['1101', '1110110', '0100001', '1010', '1001']",5,5.2,2.3076923076923075,2.692307692307692,1.1538461538461537,1.346153846153846,0.5769230769230769,0.5769230769230769,25.0,3.1,0.048582637169733205,True
"['0011101', '110', '000', '0001001']",4,5.0,2.4,1.6,0.8,0.6000000000000001,0.8,0.4,16.0,3.5,0.0002534325136484058,True
"['000111', '110', '010']",3,4.0,1.5,1.5,0.5,0.5,0.25,0.5,9.0,3.0,6.904583070910651e-07,True
"['111011', '001', '11100', '0']",4,3.75,1.6,2.4,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.8,16.0,3.5,3.153647520701479e-05,True
"['001010', '11', '011101', '0111110', '0100', '111101']",6,5.17,2.3210831721470018,3.6750483558994196,1.353965183752418,1.160541586073501,0.3868471953578337,1.160541586073501,36.0,3.2666666666666666,0.25273480206293414,True
"['11', '0']",2,1.5,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.6666666666666666,4.0,2.0,1.2478162176344548e-08,True
"['00000', '00011']",2,5.0,1.6,0.4,0.2,0.0,0.6000000000000001,0.2,4.0,2.0,6.239081088172274e-09,True
"['001', '11010', '01']",3,3.33,1.5015015015015014,1.5015015015015014,0.9009009009009009,0.6006006006006006,0.3003003003003003,0.3003003003003003,9.0,2.3333333333333335,3.2304575412092e-07,True
"['00', '10000', '11100']",3,4.0,2.0,1.0,0.0,0.5,1.0,0.25,9.0,2.6666666666666665,7.486897305806729e-07,True
"['001', '011', '10100', '010']",4,3.5,2.2857142857142856,1.714285714285714,1.1428571428571428,0.8571428571428571,0.5714285714285714,0.2857142857142857,16.0,2.0,3.0966639134295056e-06,True
"['101', '0101', '01111', '1101000', '1110010', '01110']",6,5.17,2.514506769825919,3.481624758220503,1.353965183752418,1.353965183752418,0.3868471953578337,0.9671179883945842,36.0,3.066666666666667,0.9943412962586615,True
"['00', '110111', '1100', '01110']",4,4.25,1.6470588235294117,2.3529411764705883,0.47058823529411764,0.7058823529411764,0.47058823529411764,0.9411764705882353,16.0,3.0,2.969594628600397e-05,True
"['11', '010101', '011000', '010']",4,4.25,2.1176470588235294,1.8823529411764706,1.1764705882352942,0.9411764705882353,0.23529411764705882,0.47058823529411764,16.0,3.1666666666666665,0.00011360326814713684,True
"['10', '1100101']",2,4.5,0.8888888888888888,1.1111111111111112,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.2222222222222222,4.0,5.0,7.424506494925006e-07,True
"['1010', '010010']",2,5.0,1.2000000000000002,0.8,0.6000000000000001,0.8,0.2,0.0,4.0,2.0,1.3684384520057855e-06,True
"['10', '001', '10010']",3,3.33,1.8018018018018018,1.2012012012012012,0.6006006006006006,0.9009009009009009,0.6006006006006006,0.0,9.0,2.3333333333333335,7.791919047895151e-07,True
"['001', '0111011', '01111']",3,5.0,1.0,2.0,0.8,0.2,0.2,0.8,9.0,3.0,8.317388321765662e-06,True
"['110110', '01', '11']",3,3.33,0.9009009009009009,2.1021021021021022,0.6006006006006006,0.6006006006006006,0.0,0.9009009009009009,9.0,3.0,1.2076088061773446e-06,True
"['1', '0']",2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.15938739211485e-09,True
"['000100', '0100']",2,5.0,1.6,0.4,0.4,0.4,0.6000000000000001,0.0,4.0,2.0,1.414191713319049e-07,True
"['00', '1', '111101']",3,3.0,1.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,9.0,4.0,1.7330780800478542e-07,True
"['1011', '10', '0100', '0010']",4,3.5,2.2857142857142856,1.714285714285714,0.8571428571428571,1.1428571428571428,0.5714285714285714,0.2857142857142857,16.0,2.1666666666666665,1.2313866374356012e-05,True
"['00', '01110', '01100']",3,4.0,1.75,1.25,0.5,0.5,0.5,0.5,9.0,2.3333333333333335,6.377727334576103e-07,True
"['10', '10011', '11', '0100']",4,3.25,1.8461538461538463,2.153846153846154,0.6153846153846154,0.9230769230769231,0.6153846153846154,0.6153846153846154,16.0,2.5,5.577738492826013e-06,True
"['111011', '11']",2,4.0,0.25,1.75,0.25,0.25,0.0,0.75,4.0,4.0,4.970467933577245e-07,True
