language,length,average_word_length,frequency_of_1,frequency_of_0,frequency_of_01,frequency_of_10,frequency_of_11,frequency_of_00,entropy,special,classe
"['111', '0100', '000', '1110', '0110100']",5,4.2,2.619047619047619,2.380952380952381,0.7142857142857142,0.9523809523809523,0.7142857142857142,0.7142857142857142,0.5215568769905035,0,0.0015825537324221169,True
"['100', '001', '1001000']",3,4.33,2.0785219399538106,0.9237875288683602,0.4618937644341801,0.6928406466512702,0.9237875288683602,0.0,0.8999040788918701,0,5.956242745508465e-06,True
"['010', '1100', '0011101', '1000', '00000']",5,4.6,3.2608695652173916,1.7391304347826089,0.6521739130434783,0.8695652173913044,1.0869565217391304,0.4347826086956522,0.7429604189095749,0,0.0024113532641749217,True
"['10010', '101', '0100', '1']",4,3.25,2.153846153846154,1.8461538461538463,0.9230769230769231,1.2307692307692308,0.6153846153846154,0.0,0.6751311382420727,0,4.967348393033159e-06,True
"['011011', '000', '1111', '101', '001', '0110']",6,3.83,2.610966057441253,3.394255874673629,1.3054830287206265,0.7832898172323759,0.5221932114882506,1.3054830287206265,0.6258145836939114,1,0.0024644134599661597,True
"['0101', '0010']",2,4.0,1.25,0.75,0.75,0.5,0.25,0.0,0.9056390622295665,1,1.7053488307670885e-07,True
"['100', '1000000']",2,5.0,1.6,0.4,0.0,0.4,0.8,0.0,0.7549843063184085,0,1.1979035689290768e-06,True
"['0000111', '001110', '010111', '0001111', '101100', '10001']",6,6.17,2.9173419773095626,3.0794165316045383,1.13452188006483,0.8103727714748785,0.9724473257698543,0.9724473257698543,0.9766171167629437,1,5.377488425603381,True
"['101001', '1']",2,3.5,0.8571428571428571,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.0,0.5,0,1.7261457677276627e-07,True
"['01001', '00']",2,3.5,1.4285714285714284,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.0,0.4854752972273343,0,7.48689730580673e-08,True
"['100', '1111000', '011000', '1110', '0000', '10001']",6,4.83,3.5196687370600412,2.4844720496894412,0.41407867494824013,1.0351966873706004,1.2422360248447206,0.8281573498964803,0.7673414205095054,0,0.22984345549370916,True
"['101', '1110']",2,3.5,0.5714285714285714,1.4285714285714284,0.2857142857142857,0.5714285714285714,0.0,0.2857142857142857,0.8647869792568113,1,1.9549120742939792e-07,True
"['1010', '0100', '00011']",3,4.33,1.8475750577367205,1.1547344110854503,0.6928406466512702,0.6928406466512702,0.4618937644341801,0.23094688221709006,0.9274095729712671,1,7.280314398665025e-06,True
"['11', '01110', '1111110', '10010']",4,4.75,1.263157894736842,2.736842105263158,0.42105263157894735,0.8421052631578947,0.21052631578947367,1.0526315789473684,0.6333934918729162,1,0.00047272477558233294,True
"['11', '00', '0011111', '011']",4,3.5,1.4285714285714284,2.571428571428571,0.5714285714285714,0.0,0.5714285714285714,1.1428571428571428,0.44535410065528014,1,1.3038639627432025e-05,True
"['11101', '1011011', '11100', '001']",4,5.0,1.4,2.6,0.8,0.8,0.4,0.8,0.8685737729907879,1,0.001012595581682424,True
"['1010', '11101', '10110', '1001100']",4,5.25,1.7142857142857142,2.2857142857142856,0.7619047619047619,1.3333333333333333,0.38095238095238093,0.5714285714285714,0.9195267063440706,0,0.0014894724657289356,True
"['00110', '11', '0100111', '0101010']",4,5.25,1.9047619047619047,2.095238095238095,1.1428571428571428,0.9523809523809523,0.38095238095238093,0.5714285714285714,0.735351716630793,1,0.000465229559501742,True
"['0111001', '01100', '10011', '0001', '01']",5,4.6,2.608695652173913,2.391304347826087,1.3043478260869568,0.6521739130434783,0.8695652173913044,0.6521739130434783,0.9476814898805443,1,0.0031289815215887595,True
"['11101', '100110', '01101', '11', '0001', '01']",6,4.0,2.5,3.5,1.5,1.0,0.5,1.0,0.7506928023001939,0,0.010758375418708197,True
"['111001', '0100000', '0111101', '0010', '01']",5,5.2,2.6923076923076925,2.3076923076923075,1.1538461538461537,0.7692307692307692,0.7692307692307692,0.5769230769230769,0.8368734611325163,0,0.049941672078722896,True
"['0', '11011', '111101', '10']",4,3.5,1.1428571428571428,2.8571428571428568,0.5714285714285714,0.8571428571428571,0.0,1.1428571428571428,0.5929876291339291,0,7.443223738189523e-06,True
"['1000101', '11', '10011', '1100011', '1011110', '10']",6,5.0,2.4000000000000004,3.6000000000000005,1.0,1.4000000000000001,0.6000000000000001,1.2000000000000002,0.8007545725149671,0,0.40651194383340733,True
"['0110111', '1110000', '00']",3,5.33,1.5009380863039399,1.50093808630394,0.37523452157598497,0.37523452157598497,0.5628517823639775,0.5628517823639775,0.6161162348669609,0,3.9663918171207206e-05,True
"['1101000', '1011110', '11010', '10', '100110']",5,5.4,2.222222222222222,2.7777777777777772,0.7407407407407407,1.6666666666666665,0.37037037037037035,0.9259259259259258,0.9638598598111102,1,0.09136408357340624,True
"['00110', '1']",2,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4854752972273343,1,2.703601804874652e-08,True
"['0101', '0010010']",2,5.5,1.2727272727272727,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.36363636363636365,0.0,0.9315602842833155,0,1.3684384520057855e-06,True
"['1011110', '0000001', '100100', '10101']",4,6.25,2.2399999999999998,1.76,0.8,0.96,0.8,0.32,0.8360099439145292,1,0.025626772886883545,True
"['1000', '10', '1']",3,2.33,1.7167381974248928,1.2875536480686696,0.0,0.8583690987124464,0.4291845493562232,0.0,0.603759374819711,1,9.566591001864154e-08,True
"['001', '0010', '1010101']",3,4.67,1.7130620985010707,1.284796573875803,1.0706638115631693,0.8565310492505354,0.4282655246252677,0.0,0.9049340315159581,0,3.312258826587459e-06,True
"['01011', '00001', '10']",3,4.0,1.75,1.25,0.75,0.5,0.5,0.25,0.897626229780677,1,1.9604579241501323e-06,True
"['010', '1011']",2,3.5,0.8571428571428571,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.0,0.2857142857142857,0.8647869792568113,0,8.942682893046926e-08,True
"['101010', '11000']",2,5.5,1.0909090909090908,0.9090909090909091,0.36363636363636365,0.7272727272727273,0.18181818181818182,0.18181818181818182,0.9854752972273343,1,2.845020976206557e-06,True
"['01000', '0100', '1010', '0000011', '11111', '0011']",6,4.83,3.312629399585921,2.691511387163561,1.0351966873706004,0.8281573498964803,1.0351966873706004,0.8281573498964803,0.7327211313188543,1,0.09640727021540607,True
"['011', '110001']",2,4.5,0.8888888888888888,1.1111111111111112,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.9591479170272448,1,5.012061807498393e-07,True
"['01001', '111', '0100100', '100001', '1011', '01']",6,4.5,3.111111111111111,2.888888888888889,1.5555555555555558,1.1111111111111112,1.1111111111111112,0.4444444444444444,0.7606075202558203,1,0.028816488881971365,True
"['110', '0000100', '1101']",3,4.67,1.7130620985010707,1.284796573875803,0.4282655246252677,0.6423982869379015,0.6423982869379015,0.4282655246252677,0.7737489123653166,0,1.7143608367833373e-05,True
"['010010', '10011', '100001', '1']",4,4.5,2.2222222222222223,1.7777777777777777,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.2222222222222222,0.701885565640912,0,7.926440568468466e-05,True
"['000', '11101', '10110', '011']",4,4.0,1.75,2.25,0.75,0.75,0.25,0.75,0.6527936308491301,1,7.9059555855623e-06,True
"['00110', '010101', '101010']",3,5.67,1.5873015873015872,1.4109347442680775,1.0582010582010581,1.0582010582010581,0.1763668430335097,0.1763668430335097,0.9903168648182229,0,3.599533849136191e-05,True
"['0', '11', '1010']",3,2.33,1.2875536480686696,1.7167381974248928,0.4291845493562232,0.8583690987124464,0.0,0.4291845493562232,0.3333333333333333,0,8.041482291422043e-08,True
"['00000', '110001']",2,5.5,1.4545454545454546,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.5,1,1.0190499110681381e-07,True
"['1101', '01110', '100011', '10001', '01']",5,4.4,2.2727272727272725,2.727272727272727,1.1363636363636362,0.9090909090909091,0.45454545454545453,0.6818181818181818,0.950635862673694,0,0.002934122541042963,True
"['0', '1011', '111100', '10000']",4,4.0,2.0,2.0,0.25,0.75,0.75,0.75,0.6128755133502461,0,2.543881329017442e-05,True
"['00', '101010', '1000', '10101', '110']",5,4.0,2.75,2.25,1.0,1.75,0.5,0.25,0.7401049105936581,1,0.0001449579781251162,True
"['010', '00000', '1111110']",3,5.0,1.5999999999999999,1.4,0.2,0.4,0.4,0.6,0.503322870878939,1,1.153259477587044e-05,True
"['0', '11']",2,1.5,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0,6.239081088172274e-09,True
"['11', '01000', '100000']",3,4.33,2.0785219399538106,0.9237875288683602,0.23094688221709006,0.4618937644341801,0.6928406466512702,0.23094688221709006,0.4573168388452388,0,9.272660959488039e-06,True
"['1010011', '11', '111011']",3,5.0,0.8,2.2,0.6000000000000001,0.6000000000000001,0.2,0.8,0.5450835192275353,1,2.980755651435905e-05,True
"['0111', '10', '0011', '10111']",4,3.75,1.3333333333333333,2.666666666666667,0.8,0.5333333333333333,0.26666666666666666,0.8,0.8833015548366239,0,1.609578936063644e-05,True
"['010', '1010', '1011100', '000', '10011', '011']",6,4.17,3.117505995203837,2.877697841726619,1.1990407673860912,1.4388489208633095,0.7194244604316546,0.7194244604316546,0.7987950664329831,0,0.007763232446282967,True
"['01101', '1']",2,3.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.4854752972273343,0,5.615172979355047e-08,True
"['0', '010', '11']",3,2.0,1.5,1.5,0.5,0.5,0.0,0.5,0.3060986113514965,1,1.5251087104421117e-08,True
"['1001011', '1001001', '0110']",3,6.0,1.4999999999999998,1.4999999999999998,0.8333333333333333,0.8333333333333333,0.5,0.3333333333333333,0.990152090689501,1,0.00021458834140906125,True
"['1100', '01']",2,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,1.0190499110681381e-07,True
"['11', '000010']",2,4.0,1.25,0.75,0.25,0.25,0.5,0.25,0.32501121082417705,1,4.034605770351404e-07,True
"['100', '111', '1011', '1001', '10010', '10001']",6,4.0,2.75,3.25,1.0,1.5,1.0,0.5,0.77857919123716,1,0.007219066726084902,True
"['101', '101000', '1100000']",3,5.33,1.876172607879925,1.125703564727955,0.37523452157598497,0.7504690431519699,0.5628517823639775,0.18761726078799248,0.8999040788918701,0,6.402129073943177e-05,True
"['100', '00001', '1111', '0001', '110', '0010010']",6,4.33,3.4642032332563506,2.540415704387991,0.9237875288683602,0.9237875288683602,1.3856812933025404,0.6928406466512702,0.7054864093370176,1,0.023614329899259913,True
"['100101', '1010', '1001001']",3,5.67,1.5873015873015872,1.4109347442680775,0.8818342151675485,1.0582010582010581,0.5291005291005291,0.0,0.9950760453447506,0,0.00010693646338880875,True
"['0', '011011', '1100001']",3,4.67,1.4989293361884368,1.4989293361884368,0.6423982869379015,0.4282655246252677,0.4282655246252677,0.6423982869379015,0.6345079900295804,1,4.92610113472802e-06,True
"['10100', '10001']",2,5.0,1.2,0.8,0.4,0.6000000000000001,0.4,0.0,0.9709505944546686,0,1.366358758309728e-06,True
"['11', '01001']",2,3.5,0.8571428571428571,1.1428571428571428,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.4854752972273343,0,2.183678380860296e-07,True
"['0111111', '01110', '1110', '1111100', '10000', '0000', '1101111', '01']",8,5.12,3.125,4.8828125,0.78125,0.9765625,0.9765625,1.953125,0.6938278674415562,1,566.898687753312,True
"['0', '0101']",2,2.5,1.2000000000000002,0.8,0.8,0.4,0.0,0.0,0.5,0,1.0398468480287125e-08,True
"['0110111', '011001', '10']",3,5.0,1.2,1.8,0.8,0.6000000000000001,0.2,0.6000000000000001,0.9543735228555437,1,1.9662810664990932e-05,True
"['01000', '111', '000', '011111', '0001']",5,4.2,2.619047619047619,2.380952380952381,0.7142857142857142,0.23809523809523808,0.7142857142857142,0.7142857142857142,0.43664572819896985,0,0.0004842600046368851,True
"['00', '1011100']",2,4.5,1.1111111111111112,0.8888888888888888,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4926140680171258,0,1.9133182003728307e-07,True
"['0100', '0011111']",2,5.5,0.9090909090909091,1.0909090909090908,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.837199346512882,0,1.1292736769591817e-06,True
"['101001', '1', '1011', '1001', '10010']",5,4.0,2.25,2.75,1.25,1.5,0.75,0.25,0.7564457437827603,1,0.0005705631336358761,True
"['01110', '111', '11001', '0010']",4,4.25,1.6470588235294117,2.3529411764705883,0.7058823529411764,0.7058823529411764,0.47058823529411764,0.7058823529411764,0.6882948283421175,0,6.377380718960093e-05,True
"['1110000', '01']",2,4.5,1.1111111111111112,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.9926140680171258,0,9.337824695297837e-07,True
"['1110000', '1001111']",2,7.0,0.8571428571428571,1.1428571428571428,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.9241743523004413,0,2.997878462866778e-05,True
"['1100', '000000']",2,5.0,1.6,0.4,0.0,0.2,0.8,0.2,0.5,0,1.5972047585721022e-06,True
"['110110', '10', '1100001']",3,5.0,1.4000000000000001,1.6,0.4,0.8,0.4,0.6000000000000001,0.9678413233629137,0,3.882233545553597e-05,True
"['00110', '10', '10101']",3,4.0,1.5,1.5,0.75,1.0,0.25,0.25,0.9806337296364457,0,1.1826524818246556e-06,True
"['1100100', '0101011']",2,7.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.9852281360342516,1,2.6709506138465508e-05,True
"['1000', '00', '0001010']",3,4.33,2.3094688221709005,0.6928406466512702,0.4618937644341801,0.6928406466512702,0.6928406466512702,0.0,0.5581328976752546,1,5.692814877341191e-06,True
"['100', '0000111', '0111', '00010', '1110', '0010101']",6,5.0,3.2,2.8,1.2000000000000002,1.0,1.0,0.6000000000000001,0.8722060749881034,0,0.3775861407049213,True
"['10110', '0100100', '1011', '0111111', '101100']",5,5.8,2.0689655172413794,2.9310344827586206,1.0344827586206897,1.206896551724138,0.5172413793103449,1.0344827586206897,0.847404413212552,1,0.31104858239342964,True
"['1100101', '1']",2,4.0,0.75,1.25,0.5,0.5,0.25,0.25,0.4926140680171258,1,4.2217782029965725e-07,True
"['001111', '0011', '0001101']",3,5.67,1.4109347442680775,1.5873015873015872,0.7054673721340388,0.1763668430335097,0.5291005291005291,0.7054673721340388,0.9678413233629137,1,4.314255249347926e-05,True
"['0', '010', '101001', '011']",4,3.25,2.153846153846154,1.8461538461538463,1.2307692307692308,0.9230769230769231,0.3076923076923077,0.3076923076923077,0.7091479170272448,0,1.4089924790789053e-06,True
"['110', '101', '0101000']",3,4.33,1.6166281755196303,1.3856812933025404,0.6928406466512702,0.9237875288683602,0.23094688221709006,0.23094688221709006,0.8999040788918701,0,9.461219854597245e-06,True
"['1001', '0000111', '0100', '001011']",4,5.25,2.2857142857142856,1.7142857142857142,0.9523809523809523,0.5714285714285714,0.9523809523809523,0.38095238095238093,0.9491265651233461,1,0.001234384515898468,True
"['100', '11001']",2,4.0,1.0,1.0,0.25,0.5,0.5,0.25,0.9446232142545791,0,3.18193135496786e-07,True
"['1110', '01100', '1']",3,3.33,1.2012012012012012,1.8018018018018016,0.3003003003003003,0.6006006006006006,0.3003003003003003,0.6006006006006006,0.5940762396379338,0,1.2769319293792589e-06,True
"['1001111', '1']",2,4.0,0.5,1.5,0.25,0.25,0.25,0.5,0.4315602842833155,0,3.3067129767313055e-07,True
"['0000001', '101100', '1110', '1110111']",4,6.0,1.8333333333333335,2.1666666666666665,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.748655920405947,1,0.0002319846325609656,True
"['1000', '100010']",2,5.0,1.4,0.6000000000000001,0.2,0.6000000000000001,0.4,0.0,0.8647869792568113,1,1.1355127580473539e-06,True
"['00101', '0000010', '1010101']",3,6.33,1.8957345971563981,1.1058451816745656,0.9478672985781991,0.7898894154818326,0.47393364928909953,0.0,0.8492838363570826,1,0.00011405178875425322,True
"['011110', '111100', '0111011', '101']",4,5.5,1.2727272727272727,2.7272727272727275,0.7272727272727273,0.7272727272727273,0.18181818181818182,1.0909090909090908,0.9045020176825249,1,0.002108806288261685,True
"['000', '1110', '1']",3,2.67,1.4981273408239701,1.4981273408239701,0.0,0.37453183520599254,0.37453183520599254,0.37453183520599254,0.2704260414863776,0,4.0207411457110217e-08,True
"['110', '11', '010110', '01']",4,3.25,1.5384615384615385,2.4615384615384617,0.9230769230769231,0.9230769230769231,0.0,0.9230769230769231,0.7295739585136224,0,7.2799677830490156e-06,True
"['100', '101101', '01']",3,3.67,1.3623978201634879,1.6348773841961854,0.8174386920980927,0.8174386920980927,0.2724795640326976,0.2724795640326976,0.9455305560363264,0,1.6706872691661314e-06,True
"['000', '0100101', '11', '01']",4,3.5,2.2857142857142856,1.714285714285714,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.4963070340085629,0,6.29107343057371e-07,True
"['010', '1', '01100', '11000']",4,3.5,2.2857142857142856,1.7142857142857142,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.7150492557409567,0,5.748273375902722e-06,True
"['010100', '01010']",2,5.5,1.2727272727272727,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.18181818181818182,0.0,0.9446232142545791,0,1.351800902437326e-06,True
"['11', '01111', '00100']",3,4.0,1.25,1.75,0.5,0.25,0.5,0.75,0.4812853965915749,1,4.930260522120135e-06,True
"['0', '010010', '01100', '0001011']",4,4.75,2.526315789473684,1.4736842105263157,1.0526315789473684,0.8421052631578947,0.631578947368421,0.42105263157894735,0.7186186411358524,1,7.827447148536132e-05,True
"['0', '1']",2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.079693696057425e-09,True
"['011', '0110000', '10']",3,4.0,1.75,1.25,0.5,0.5,0.5,0.5,0.9271388008737068,1,2.39858006278623e-06,True
"['010', '0001', '1110', '01']",4,3.25,2.153846153846154,1.8461538461538463,0.9230769230769231,0.6153846153846154,0.3076923076923077,0.3076923076923077,0.8852130207431889,0,2.255427813374277e-06,True
"['001', '000101']",2,4.5,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.0,0.9182958340544896,1,1.4349886502796232e-07,True
"['0001', '111100', '010101']",3,5.33,1.50093808630394,1.5009380863039399,0.7504690431519699,0.5628517823639775,0.37523452157598497,0.37523452157598497,0.9098579861712075,0,1.103208182635262e-05,True
"['0000100', '100111', '011010', '1111100']",4,6.5,2.0,2.0,0.6153846153846154,0.7692307692307693,0.7692307692307693,0.6153846153846154,0.843272295300862,1,0.0025165250381395028,True
"['1100', '1101', '10000']",3,4.33,1.6166281755196303,1.3856812933025404,0.23094688221709006,0.6928406466512702,0.6928406466512702,0.4618937644341801,0.8444020731154985,0,9.11737716351575e-06,True
"['111', '1101', '111011', '10']",4,3.75,0.8,3.2,0.5333333333333333,0.8,0.0,1.0666666666666667,0.6153251365268717,0,3.352258268674963e-05,True
"['100', '0000110', '1010', '11', '0101', '00000', '11000']",7,4.29,4.428904428904429,2.564102564102564,0.9324009324009324,1.3986013986013988,1.3986013986013988,0.6993006993006993,0.678909571010827,1,0.32316777707851213,True
"['10010', '111', '10111']",3,4.33,0.9237875288683602,2.0785219399538106,0.4618937644341801,0.6928406466512702,0.23094688221709006,0.4618937644341801,0.5642928964473436,1,6.731275262905865e-06,True
"['101', '11']",2,2.5,0.4,1.6,0.4,0.4,0.0,0.4,0.4591479170272448,0,4.783295500932077e-08,True
"['110', '101', '00']",3,2.67,1.4981273408239701,1.4981273408239701,0.37453183520599254,0.7490636704119851,0.37453183520599254,0.37453183520599254,0.612197222702993,0,2.9393004237611607e-07,True
"['0', '101']",2,2.0,1.0,1.0,0.5,0.5,0.0,0.0,0.4591479170272448,0,1.0398468480287125e-08,True
"['0001001', '0100110', '0100']",3,6.0,2.0,0.9999999999999999,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.8865422763533385,0,2.6403791165145067e-05,True
"['111', '10', '0110111', '010100', '00111', '1110011', '0001011']",7,5.29,2.835538752362949,4.158790170132325,1.5122873345935728,1.1342155009451795,0.7561436672967864,1.3232514177693762,0.8001022430966673,0,77.66475153358692,True
"['11011', '100001', '1']",3,4.0,1.25,1.75,0.5,0.5,0.5,0.5,0.546741309647284,1,4.884507260806872e-06,True
"['010010', '11000']",2,5.5,1.2727272727272727,0.7272727272727273,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.18181818181818182,0.9446232142545791,0,1.247816217634455e-06,True
"['11001', '1']",2,3.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4854752972273343,0,1.0606437849892866e-07,True
"['110', '00101']",2,4.0,1.0,1.0,0.5,0.5,0.25,0.25,0.9446232142545791,0,4.096996581233127e-07,True
"['101001', '00', '1110', '10101', '10']",5,3.8,2.3684210526315788,2.631578947368421,1.0526315789473684,1.5789473684210527,0.5263157894736842,0.2631578947368421,0.7564457437827603,0,0.0002809666183373581,True
"['100', '00010', '11', '1111011', '1100001']",5,4.8,2.2916666666666665,2.7083333333333335,0.625,0.8333333333333334,0.8333333333333334,1.0416666666666667,0.6434249687116862,1,0.007141396128325752,True
"['0110110', '10']",2,4.5,0.8888888888888888,1.1111111111111112,0.4444444444444444,0.6666666666666666,0.0,0.4444444444444444,0.9926140680171258,1,4.533732257405186e-07,True
"['11', '1110000']",2,4.5,0.8888888888888888,1.1111111111111112,0.0,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.4926140680171258,1,1.0315280732444828e-06,True
"['0001', '10']",2,3.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.9056390622295665,0,1.2478162176344548e-08,True
"['11110', '00010']",2,5.0,1.0,1.0,0.2,0.4,0.2,0.4,0.7219280948873623,1,2.000665335607243e-06,True
"['1101', '101011', '0', '0001110', '0010010', '01010']",6,5.0,3.2,2.8,1.6,1.6,0.6000000000000001,0.6000000000000001,0.7581455429281956,0,0.6360825871877613,True
"['10', '01']",2,2.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0,1.8717243264516825e-08,True
